# AOWEB — Vitales objetivo al NIVEL 50
#
# Editá hp_50 y mp_50 (mp = 0 o — si la clase no usa maná: guerrero, cazador).
# hp_l1 / mp_l1 = 2×CON / 2×INT con stats actuales (characterStats.ts).
# Filas con ANCLA son referencias de balance acordadas.
#
# Regenerar proyección: node scripts/generate-vital-benchmarks-level50.mjs
# Tras editar hp_50/mp_50: node scripts/build-vital-growth-curves.mjs
#
raza_id  | clase_id     | raza           | clase        | CON  | INT  | hp_l1  | mp_l1  | hp_50  | mp_50   | nota
gnome    | clerigo      | Gnomo          | Clérigo      | 17   | 23   | 34     | 46     | 390    | 2010    | 
gnome    | mago         | Gnomo          | Mago         | 14   | 25   | 28     | 50     | 326    | 2660    | ANCLA
gnome    | nigromante   | Gnomo          | Nigromante   | 14   | 25   | 28     | 50     | 356    | 2450    | 
gnome    | druida       | Gnomo          | Druida       | 14   | 24   | 28     | 48     | 358    | 2302    | 
gnome    | bardo        | Gnomo          | Bardo        | 16   | 23   | 32     | 46     | 370    | 2005    | 
gnome    | guerrero     | Gnomo          | Guerrero     | 19   | 11   | 38     | —      | 488    | —       | 
gnome    | cazador      | Gnomo          | Cazador      | 18   | 11   | 36     | —      | 452    | —       | 
gnome    | asesino      | Gnomo          | Asesino      | 17   | 22   | 34     | 44     | 389    | 1460    | 
orc      | paladin      | Orco           | Paladín      | 22   | 13   | 44     | 26     | 458    | 820    | 
orc      | clerigo      | Orco           | Clérigo      | 21   | 17   | 42     | 34     | 416    | 1260    | 
orc      | mago         | Orco           | Mago         | 18   | 19   | 36     | 38     | 354    | 1850    | 
orc      | nigromante   | Orco           | Nigromante   | 18   | 19   | 36     | 38     | 380    | 1660    | 
orc      | druida       | Orco           | Druida       | 18   | 18   | 36     | 36     | 380    | 2090    | 
orc      | bardo        | Orco           | Bardo        | 20   | 17   | 40     | 34     | 392    | 1850    | 
orc      | guerrero     | Orco           | Guerrero     | 23   | 10   | 46     | —      | 496    | —       | 
orc      | cazador      | Orco           | Cazador      | 22   | 10   | 44     | —      | 460    | —       | 
orc      | asesino      | Orco           | Asesino      | 21   | 16   | 42     | 32     | 406    | 890    | 

