npcId,name,bodyId,inCriaturas,giveExp,grh1,grh2,grh3,grh4,file1,file2,file3,file4
527,Dragon Rojo,358,0,6000,22382,22384,22381,22383,10250,10268,10226,10262
528,Araña Gigante,42,0,2150,4642,4644,4641,4643,336,336,336,336
529,Escorpión,51,0,40,4683,4685,4682,4684,346,346,346,346
530,Bandido,47,0,760,4662,4669,4661,4663,342,342,342,342
531,Asesino,48,0,1750,4671,4673,4670,4672,343,343,343,343
532,Águila,59,0,18,4731,4733,4730,4732,355,355,355,355
533,Cuervo,68,0,53,4735,4737,4734,4736,356,356,356,356
534,Señor de las sombras,69,0,550,4739,4741,4738,4740,357,357,357,357
535,Hormiga,70,0,6,4743,4745,4742,4744,358,358,358,358
536,Rata Gigante,71,0,21,4747,4749,4746,4748,359,359,359,359
537,Beholder,72,0,2020,4751,4753,4750,4752,361,363,360,362
538,Oso Pardo,73,0,1350,4755,4757,4754,4756,366,368,365,367
539,Tortuga Gigante,74,0,550,4759,4761,4758,4760,370,372,369,371
540,Duende,75,0,268,10033,10035,10032,10034,379,379,379,379
541,Ogro,76,0,2900,10061,10063,10060,10062,380,380,380,380
544,Lobo,10,0,118,4537,4539,4536,4538,305,305,305,305
545,Lobo,10,0,230,4537,4539,4536,4538,305,305,305,305
546,Zombie,11,0,230,4541,4543,4540,4542,306,306,306,306
548,Leviatán,99,0,20000,10787,10789,10786,10788,8021,8022,8020,8019
549,Orco brujo,43,0,3000,4646,4648,4645,4647,338,338,338,338
550,Bruja,125,0,10000,11488,11490,11487,11489,8049,8049,8049,8049
551,Mago protector,135,0,6000,11748,11750,11747,11749,8059,8059,8059,8059
552,Golem de piedra,371,0,80000,22915,22916,22914,22917,10765,10766,10764,10767
553,Medusa,367,0,20000,22767,22769,22766,22768,10628,10628,10628,10628
554,Liche,149,0,3500,12105,12107,12104,12106,8205,8205,8205,8205
555,Lord Orco,148,0,3200,12069,12071,12068,12070,8204,8204,8204,8204
556,Quark,146,0,65,12029,12031,12028,12030,8202,8202,8202,8202
557,Jabalí Salvaje,150,0,442,12141,12143,12140,12142,8206,8206,8206,8206
558,Dark MaRcHaO,56,0,80000,4707,4709,4706,4708,352,352,352,352
559,Dark XoGo,93,0,80000,10633,10635,10632,10634,8013,8013,8013,8013
561,Saqueador de minas,136,0,60000,11774,11776,11773,11775,8060,8060,8060,8060
563,Goblin,14,0,130,4553,4555,4552,4554,309,309,309,309
564,Escorpion,51,0,38,4683,4685,4682,4684,346,346,346,346
565,Serpiente,13,0,20,4549,4551,4548,4550,308,308,308,308
566,Murcielago,9,0,15,4533,4535,4532,4534,304,304,304,304
567,Arquero Pirata,110,0,17000,11098,11100,11097,11099,8034,8034,8034,8034
568,Guerrero Pirata,110,0,28000,11098,11100,11097,11099,8034,8034,8034,8034
569,Fuego Fatuo,144,0,35000,275,275,275,275,405,405,405,405
571,Fango,173,0,3800,13768,13770,13767,13769,8238,8238,8238,8238
573,Basilisco,167,0,2600,14721,14723,14720,14722,8218,8219,8220,8221
574,Ogro Guerrero,237,0,6400,3828,3830,3827,3829,8289,8289,8289,8289
575,Golem de oro,373,0,150000,22987,22988,22986,22989,10773,10772,10775,10774
576,Momia,369,0,19000,22843,22844,22842,22845,10631,10632,10630,10633
577,Golem de bronce,373,0,45000,22987,22988,22986,22989,10773,10772,10775,10774
578,Medusa Matriarch,368,0,56000,22807,22809,22806,22808,10629,10629,10629,10629
579,Golem de plata,375,0,110000,23060,23061,23059,23062,10777,10778,10776,10779
580,Lobo Invernal,284,0,560,3857,3859,3856,3858,8285,8285,8285,8285
581,Golem infernal,374,0,200000,23024,23025,23023,23026,10861,10862,10860,10864
583,Esqueleto Guerrero,171,0,500,14871,14873,14870,14872,8234,8234,8234,8234
584,Cíclope,166,0,3300,14685,14687,14684,14686,8213,8213,8213,8213
585,Yeti,370,0,195000,22879,22880,22878,22881,10733,10734,10732,10736
586,Aparición,245,0,8000,13792,13794,13791,13793,1117,15062,1117,15062
587,Golem de hielo,377,0,260000,23130,23132,23129,23131,10959,10960,10959,10959
588,Crako,219,0,10500,12942,12944,12941,12943,8264,8266,8263,8265
589,Protector,172,0,2500,14907,14909,14906,14908,8236,8236,8236,8236
591,Dark Greco,161,0,110000,14555,14557,14554,14556,8241,8241,8241,8241
592,Ent,273,0,1200,16747,16748,16746,16749,9650,9650,9650,9650
593,Gladiador,364,0,7000,22651,22653,22650,22652,10540,10541,10540,10540
594,Gallina Salvaje,278,0,28,17873,17875,17872,17874,9795,9795,9795,9795
595,Sirena,277,0,23500,17787,17789,17786,17788,9787,9789,9788,9786
599,,278,0,28,17873,17875,17872,17874,9795,9795,9795,9795
600,Golem protector del Fuego,374,0,250000,23024,23025,23023,23026,10861,10862,10860,10864
601,Golem protector del Aire,375,0,250000,23060,23061,23059,23062,10777,10778,10776,10779
603,Chamán Ártico,418,0,6800,30062,30064,30061,30063,15389,15389,15389,15389
604,Yuan Ti,417,0,4600,30034,30036,30033,30035,15388,15388,15388,15388
605,Huargo de Nieve,414,0,1070,29966,29964,29965,29963,15383,15383,15383,15383
606,Hombre Lagarto,445,0,8600,,,,,,,,
